BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,EAST LONDON,QUIGNEY,5201
EASTERN CAPE,EAST LONDON,REESTON,5247
EASTERN CAPE,EAST LONDON,REGENT PARK,5247
EASTERN CAPE,EAST LONDON,RHODES PARK,5247
EASTERN CAPE,EAST LONDON,RIEGERTON PARK,5257
EASTERN CAPE,EAST LONDON,ROSEDALE PARK,5247
EASTERN CAPE,EAST LONDON,ROSEMOUNT,5201
EASTERN CAPE,EAST LONDON,SAXILBY,5247
EASTERN CAPE,EAST LONDON,SCENERY PARK,5253
EASTERN CAPE,EAST LONDON,SEAVALE,5201
EASTERN CAPE,EAST LONDON,SELBORNE,5201
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,5201
EASTERN CAPE,EAST LONDON,STIRLING,5241
EASTERN CAPE,EAST LONDON,STONEYDRIFT,5247
EASTERN CAPE,EAST LONDON,SUMMERPRIDE,5247
EASTERN CAPE,EAST LONDON,SUNNYRIDGE,5201
EASTERN CAPE,EAST LONDON,SUNRISE ON SEA,5201
EASTERN CAPE,EAST LONDON,TECOMA,5214
EASTERN CAPE,EAST LONDON,TERMINUS,5215
EASTERN CAPE,EAST LONDON,THE DUNCAN VILLAGE,5209
EASTERN CAPE,EAST LONDON,VERGENOEG,5209
EASTERN CAPE,EAST LONDON,VINCENT HEIGHTS EAST,5241
EASTERN CAPE,EAST LONDON,VINCENT HEIGHTS,5247
EASTERN CAPE,EAST LONDON,VINCENT,5247
EASTERN CAPE,EAST LONDON,WEST BANK,5201
EASTERN CAPE,EAST LONDON,WILLOW PARK,5201
EASTERN CAPE,EAST LONDON,WILSONIA,5247
EASTERN CAPE,EAST LONDON,WINTERSTRAND,5201
EASTERN CAPE,EAST LONDON,WOODBROOK,5201
EASTERN CAPE,EAST LONDON,WOODLEIGH,5241
EASTERN CAPE,EAST LONDON,YELLOW SANDS,5275
EASTERN CAPE,ELLIOT,ELLIOT,5460
EASTERN CAPE,ELLIOT,MASIBAMBANE,5460
EASTERN CAPE,ELLIOTDALE,BELLROCK,5073
